156061,3
156062,3
156063,3
156064,3
156065,3
156066,3
156067,3
156068,3
156069,3
156070,2
156071,1
156072,2
156073,1
156074,2
156075,3
156076,4
156077,3
156078,0
156079,0
156080,1
156081,2
156082,1
156083,0
156084,2
156085,2
156086,2
156087,2
156088,2
156089,0
156090,2
156091,0
156092,0
156093,0
156094,3
156095,2
156096,3
156097,1
156098,3
156099,2
156100,3
156101,2
156102,3
156103,2
156104,2
156105,2
156106,2
156107,2
156108,2
156109,2
156110,2
156111,1
156112,2
156113,1
156114,1
156115,1
156116,1
156117,2
156118,1
156119,2
156120,2
156121,1
156122,2
156123,1
156124,2
156125,2
156126,2
156127,2
156128,3
156129,2
156130,3
156131,2
156132,4
156133,1
156134,2
156135,2
156136,3
156137,2
156138,3
156139,3
156140,3
156141,3
156142,2
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,2
156151,2
156152,2
156153,2
156154,0
156155,1
156156,2
156157,1
156158,2
156159,1
156160,2
156161,3
156162,2
156163,3
156164,2
156165,3
156166,4
156167,3
156168,4
156169,2
156170,2
156171,4
156172,4
156173,2
156174,4
156175,4
156176,3
156177,2
156178,4
156179,2
156180,4
156181,4
156182,2
156183,4
156184,1
156185,4
156186,4
156187,4
156188,4
156189,2
156190,4
156191,2
156192,2
156193,2
156194,2
156195,2
156196,2
156197,2
156198,2
156199,2
156200,2
156201,3
156202,2
156203,3
156204,2
156205,3
156206,3
156207,1
156208,1
156209,2
156210,2
156211,2
156212,2
156213,2
156214,2
156215,2
156216,2
156217,2
156218,2
156219,4
156220,2
156221,4
156222,4
156223,1
156224,1
156225,1
156226,1
156227,2
156228,1
156229,1
156230,2
156231,2
156232,2
156233,2
156234,2
156235,2
156236,4
156237,1
156238,4
156239,3
156240,4
156241,3
156242,3
156243,4
156244,4
156245,3
156246,3
156247,3
156248,3
156249,3
156250,4
156251,4
156252,1
156253,1
156254,1
156255,1
156256,3
156257,3
156258,2
156259,3
156260,2
156261,2
156262,3
156263,3
156264,3
156265,2
156266,3
156267,3
156268,2
156269,2
156270,1
156271,2
156272,4
156273,2
156274,4
156275,4
156276,4
156277,4
156278,1
156279,1
156280,1
156281,1
156282,1
156283,1
156284,2
156285,2
156286,3
156287,3
156288,3
156289,3
156290,2
156291,2
